country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,standard_category,price_local_numeric,barcode_harmonized,regional_sku,regional_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Jumbo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,99.0,1.57,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://jumbo.com.do/galleta-de-fibra-hatuey-13-76-onz-2128927?utm_source=supermercadosrd,Cookies,99.0,7467581603885,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,98.0,1.55,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://mercajumbo.com.do/?utm_source=supermercadosrd,Cookies,98.0,7467581603885,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,99.95,1.58,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://supermercadosnacional.com/galleta-de-fibra-hatuey-13-76-onz-2128927?utm_source=supermercadosrd,Cookies,99.95,7467581603885,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,112.0,1.77,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://plazalama.com.do/p/galletas-integrales-hatuey-12-uds-7467581603885?utm_source=supermercadosrd,Cookies,112.0,7467581603885,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Ritmo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,95.0,1.51,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://tiendasritmo.com/?utm_source=supermercadosrd,Cookies,95.0,7467581603885,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,99.0,1.57,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://sirena.do/products/index/galleta-hatuey-fibra-390-gr-?utm_source=supermercadosrd,Cookies,99.0,7467581603885,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Aviva,Galleta De Soda Aviva 9 Und,,,95.0,1.51,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://www.garrido.com.do/p/261393?utm_source=supermercadosrd,Cookies,95.0,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Aviva,Galleta De Soda Aviva 9 Und,,,82.0,1.3,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://jumbo.com.do/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,Cookies,82.0,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Aviva,Galleta De Soda Aviva 9 Und,,,81.0,1.28,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://mercajumbo.com.do/?utm_source=supermercadosrd,Cookies,81.0,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Aviva,Galleta De Soda Aviva 9 Und,,,82.95,1.31,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://supermercadosnacional.com/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,Cookies,82.95,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
