country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,source_url,standard_category,price_local_numeric,data_quality_brand,data_quality_weight,data_quality_price_kg,scrape_date,source_category,search_term,price_text,price_gyd,image_url,price_per_kg_gyd,page,regional_sku,regional_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Sirena,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,99.0,1.57,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://sirena.do/products/index/galleta-hatuey-fibra-390-gr-?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,Cookies,99.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7467581603885,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Aviva,Galleta De Soda Aviva 9 Und,,,95.0,1.51,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://www.garrido.com.do/p/261393?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,Cookies,95.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Aviva,Galleta De Soda Aviva 9 Und,,,82.0,1.3,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://jumbo.com.do/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,Cookies,82.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Aviva,Galleta De Soda Aviva 9 Und,,,81.0,1.28,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://mercajumbo.com.do/?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,Cookies,81.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Aviva,Galleta De Soda Aviva 9 Und,,,82.95,1.31,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://supermercadosnacional.com/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,Cookies,82.95,OK,Missing Weight,Missing Price/KG,,,,,,,,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Aviva,Galleta De Soda Aviva 9 Und,,,89.0,1.41,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://plazalama.com.do/p/galletas-de-soda-aviva-9-uds-7468339190343?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,Cookies,89.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Aviva,Galleta De Soda Aviva 9 Und,,,87.0,1.38,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://sirena.do/products/index/galletas-de-soda-aviva-9-uds-?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,Cookies,87.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,109.0,1.73,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://bravova.superbravo.com.do/articulos/6034?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,Cookies,109.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,110.0,1.74,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://www.garrido.com.do/p/262344?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,Cookies,110.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,98.0,1.55,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://jumbo.com.do/galleta-de-soda-integral-aviva-9-und-paq-2122881?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,Cookies,98.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190367,1,,Market
