country,currency,category,source_category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,product_name_clean,standard_category,price_local_numeric,scrape_date,search_term,price_text,price_gyd,image_url,source_url,price_per_kg_gyd,page,barcode_harmonized,sku_text_key,weight_bucket,match_key,regional_overlap,family_key,commercial_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Galletas,Sirena,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://sirena.do/products/index/galletas-dulces-dino-vainilla-12-uds-?utm_source=supermercadosrd,Galleta Sandwich Vainilla,Cookies,175.0,,,,,,,,,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,1,dino_galleta_sandwich_vainilla,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Sirena,Wala,Galleta Cremosa De Chocolate Wala,,,118.0,1.87,10 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/galleta-cremosa-de-chocolate-wala/21460,https://sirena.do/products/index/galleta-cremosa-de-chocolate-wala-10-1?utm_source=supermercadosrd,Galleta Cremosa De Chocolate,Cookies,118.0,,,,,,,,,,wala_galleta cremosa de chocolate wala,unknown,wala_galleta cremosa de chocolate wala_unknown,1,wala_galleta_cremosa_chocolate,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Bravo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,98.0,1.55,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://bravova.superbravo.com.do/articulos/2492?utm_source=supermercadosrd,Galleta De Fibra,Cookies,98.0,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Garrido,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,90.0,1.43,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://www.garrido.com.do/p/181194?utm_source=supermercadosrd,Galleta De Fibra,Cookies,90.0,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Jumbo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,99.0,1.57,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://jumbo.com.do/galleta-de-fibra-hatuey-13-76-onz-2128927?utm_source=supermercadosrd,Galleta De Fibra,Cookies,99.0,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,98.0,1.55,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://mercajumbo.com.do/?utm_source=supermercadosrd,Galleta De Fibra,Cookies,98.0,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Nacional,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,99.95,1.58,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://supermercadosnacional.com/galleta-de-fibra-hatuey-13-76-onz-2128927?utm_source=supermercadosrd,Galleta De Fibra,Cookies,99.95,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Plaza Lama,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,112.0,1.77,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://plazalama.com.do/p/galletas-integrales-hatuey-12-uds-7467581603885?utm_source=supermercadosrd,Galleta De Fibra,Cookies,112.0,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Ritmo,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,95.0,1.51,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://tiendasritmo.com/?utm_source=supermercadosrd,Galleta De Fibra,Cookies,95.0,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Sirena,Hatuey,Galleta De Fibra Hatuey,7467581603885,13,99.0,1.57,12 UND,,,,Mass,Funcional,https://supermercadosrd.com/productos/galleta-de-fibra-hatuey/18731,https://sirena.do/products/index/galleta-hatuey-fibra-390-gr-?utm_source=supermercadosrd,Galleta De Fibra,Cookies,99.0,,,,,,,,,7467581603885,hatuey_galleta de fibra hatuey,unknown,7467581603885,1,hatuey_galleta_fibra,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Garrido,Aviva,Galleta De Soda Aviva 9 Und,7468339190343,13,95.0,1.51,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://www.garrido.com.do/p/261393?utm_source=supermercadosrd,Galleta De Soda,Cookies,95.0,,,,,,,,,7468339190343,aviva_galleta de soda aviva 9 und,unknown,7468339190343,1,aviva_galleta_soda,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Jumbo,Aviva,Galleta De Soda Aviva 9 Und,7468339190343,13,82.0,1.3,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://jumbo.com.do/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,Galleta De Soda,Cookies,82.0,,,,,,,,,7468339190343,aviva_galleta de soda aviva 9 und,unknown,7468339190343,1,aviva_galleta_soda,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Aviva,Galleta De Soda Aviva 9 Und,7468339190343,13,81.0,1.28,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://mercajumbo.com.do/?utm_source=supermercadosrd,Galleta De Soda,Cookies,81.0,,,,,,,,,7468339190343,aviva_galleta de soda aviva 9 und,unknown,7468339190343,1,aviva_galleta_soda,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Nacional,Aviva,Galleta De Soda Aviva 9 Und,7468339190343,13,82.95,1.31,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://supermercadosnacional.com/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,Galleta De Soda,Cookies,82.95,,,,,,,,,7468339190343,aviva_galleta de soda aviva 9 und,unknown,7468339190343,1,aviva_galleta_soda,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Plaza Lama,Aviva,Galleta De Soda Aviva 9 Und,7468339190343,13,89.0,1.41,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://plazalama.com.do/p/galletas-de-soda-aviva-9-uds-7468339190343?utm_source=supermercadosrd,Galleta De Soda,Cookies,89.0,,,,,,,,,7468339190343,aviva_galleta de soda aviva 9 und,unknown,7468339190343,1,aviva_galleta_soda,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Sirena,Aviva,Galleta De Soda Aviva 9 Und,7468339190343,13,87.0,1.38,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://sirena.do/products/index/galletas-de-soda-aviva-9-uds-?utm_source=supermercadosrd,Galleta De Soda,Cookies,87.0,,,,,,,,,7468339190343,aviva_galleta de soda aviva 9 und,unknown,7468339190343,1,aviva_galleta_soda,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Bravo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,109.0,1.73,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://bravova.superbravo.com.do/articulos/6034?utm_source=supermercadosrd,Galleta De Soda Integral,Cookies,109.0,,,,,,,,,7468339190367,aviva_galleta de soda integral aviva 9 und,unknown,7468339190367,1,aviva_galleta_soda_integral,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Garrido,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,110.0,1.74,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://www.garrido.com.do/p/262344?utm_source=supermercadosrd,Galleta De Soda Integral,Cookies,110.0,,,,,,,,,7468339190367,aviva_galleta de soda integral aviva 9 und,unknown,7468339190367,1,aviva_galleta_soda_integral,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Jumbo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,98.0,1.55,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://jumbo.com.do/galleta-de-soda-integral-aviva-9-und-paq-2122881?utm_source=supermercadosrd,Galleta De Soda Integral,Cookies,98.0,,,,,,,,,7468339190367,aviva_galleta de soda integral aviva 9 und,unknown,7468339190367,1,aviva_galleta_soda_integral,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,97.0,1.54,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://mercajumbo.com.do/?utm_source=supermercadosrd,Galleta De Soda Integral,Cookies,97.0,,,,,,,,,7468339190367,aviva_galleta de soda integral aviva 9 und,unknown,7468339190367,1,aviva_galleta_soda_integral,1,,Market
Dominican Republic,DOP,Galletas,Galletas,Nacional,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,98.95,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://supermercadosnacional.com/galleta-de-soda-integral-aviva-9-und-paq-2122881?utm_source=supermercadosrd,Galleta De Soda Integral,Cookies,98.95,,,,,,,,,7468339190367,aviva_galleta de soda integral aviva 9 und,unknown,7468339190367,1,aviva_galleta_soda_integral,1,,Market
