search_term,country,currency,category,source_category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,product_name_clean,standard_category,price_local_numeric,scrape_date,price_text,price_gyd,image_url,source_url,price_per_kg_gyd,page,brand_original,barcode_harmonized,sku_text_key,weight_bucket,match_key,family_key,family_overlap,regional_overlap,commercial_overlap,competitive_index,price_positioning
galletas,Dominican Republic,DOP,Galletas,Galletas,Nacional,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.95,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://supermercadosnacional.com/galleta-dulce-sabor-vainilla-dino-10-und-paq-2010114?utm_source=supermercadosrd,Dino Vainilla,Cookies,174.95,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Plaza Lama,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,174.0,2.76,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://plazalama.com.do/p/galletas-dino-vainilla-rellenas-de-crema-12-uds-753079000487?utm_source=supermercadosrd,Dino Vainilla,Cookies,174.0,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Ritmo,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,145.0,2.3,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://tiendasritmo.com/?utm_source=supermercadosrd,Dino Vainilla,Cookies,145.0,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Sirena,Dino,Dino Galleta Sandwich Vainilla 12 Und,753079000487,12,175.0,2.77,12 UND,,,,Mass,Dulce Sandwich,https://supermercadosrd.com/productos/dino-galleta-sandwich-vainilla-12-und/9129,https://sirena.do/products/index/galletas-dulces-dino-vainilla-12-uds-?utm_source=supermercadosrd,Dino Vainilla,Cookies,175.0,,,,,,,,Galleta Sandwich,0753079000487,dino_dino galleta sandwich vainilla 12 und,unknown,0753079000487,dino_dino_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Bravo,Duetto,Duetto Galletas Vainilla 12 Und,7467340338355,13,129.0,2.04,12 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/duetto-galletas-vainilla-12-und/9200,https://bravova.superbravo.com.do/articulos/1768?utm_source=supermercadosrd,Galletas Vainilla,Cookies,129.0,,,,,,,,Duetto,7467340338355,duetto_duetto galletas vainilla 12 und,unknown,7467340338355,duetto_galletas_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Garrido,Duetto,Duetto Galletas Vainilla 12 Und,7467340338355,13,135.0,2.14,12 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/duetto-galletas-vainilla-12-und/9200,https://www.garrido.com.do/p/181003?utm_source=supermercadosrd,Galletas Vainilla,Cookies,135.0,,,,,,,,Duetto,7467340338355,duetto_duetto galletas vainilla 12 und,unknown,7467340338355,duetto_galletas_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Jumbo,Duetto,Duetto Galletas Vainilla 12 Und,7467340338355,13,129.95,2.06,12 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/duetto-galletas-vainilla-12-und/9200,https://jumbo.com.do/galleta-sandwich-sabor-a-vainilla-duetto-12-und-paq-2108851?utm_source=supermercadosrd,Galletas Vainilla,Cookies,129.95,,,,,,,,Duetto,7467340338355,duetto_duetto galletas vainilla 12 und,unknown,7467340338355,duetto_galletas_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Nacional,Duetto,Duetto Galletas Vainilla 12 Und,7467340338355,13,129.95,2.06,12 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/duetto-galletas-vainilla-12-und/9200,https://supermercadosnacional.com/galleta-sandwich-sabor-a-vainilla-duetto-12-und-paq-2108851?utm_source=supermercadosrd,Galletas Vainilla,Cookies,129.95,,,,,,,,Duetto,7467340338355,duetto_duetto galletas vainilla 12 und,unknown,7467340338355,duetto_galletas_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Plaza Lama,Duetto,Duetto Galletas Vainilla 12 Und,7467340338355,13,129.0,2.04,12 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/duetto-galletas-vainilla-12-und/9200,https://plazalama.com.do/p/galletas-duetto-sabor-a-vainilla-12-unidades-7467340338355?utm_source=supermercadosrd,Galletas Vainilla,Cookies,129.0,,,,,,,,Duetto,7467340338355,duetto_duetto galletas vainilla 12 und,unknown,7467340338355,duetto_galletas_vainilla,1,1,1,,Market
galletas,Dominican Republic,DOP,Galletas,Galletas,Sirena,Duetto,Duetto Galletas Vainilla 12 Und,7467340338355,13,130.0,2.06,12 UND,,,,Mass,Galleta,https://supermercadosrd.com/productos/duetto-galletas-vainilla-12-und/9200,https://sirena.do/products/index/galletas-vainilla-duetto-12-1?utm_source=supermercadosrd,Galletas Vainilla,Cookies,130.0,,,,,,,,Duetto,7467340338355,duetto_duetto galletas vainilla 12 und,unknown,7467340338355,duetto_galletas_vainilla,1,1,1,,Market
